Player,Player ID,Team,Games Played,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,AST,TO,W,L,W_PCT,MIN,OREB,DREB,REB,STL,BLK,AGE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,STL_RANK,BLK_RANK,PTS_RANK,HEIGHT,WEIGHT,EXP,SCHOOL,POSITION,PPG,PER
Cody Zeller,203469,NOP,43,76,26,62,0.419,1,3,0.333,23,38,0.605,39,16,26,17,0.605,319.70666666666665,48,64,112,9,5,31.0,241,199,164,406,435,434,403,467,496,302,338,319,466,195,351,327,347,398,387,429,83.0,240,10,Indiana,F-C,1.7674418604651163,0.5677078989073318
Colby Jones,1641732,SAC,30,64,28,71,0.394,2,22,0.091,6,11,0.545,20,10,15,15,0.5,191.73666666666668,17,23,40,7,5,21.0,347,168,300,440,432,423,459,440,401,496,437,433,489,366,442,422,414,417,387,436,78.0,207,-1,Xavier,G,2.1333333333333333,0.19818848768275932
Cole Anthony,1630175,ORL,81,937,332,763,0.435,93,275,0.338,180,218,0.826,236,126,47,34,0.58,1817.3116666666667,64,247,311,64,37,24.0,45,446,207,139,118,101,352,133,117,288,66,69,161,135,101,114,94,90,117,108,74.0,185,3,North Carolina,G,11.567901234567902,0.23578784413240436
Cole Swider,1631306,MIA,18,42,15,38,0.395,10,30,0.333,2,2,1.0,5,8,8,10,0.444,86.79833333333333,1,6,7,1,1,25.0,423,130,359,483,464,460,457,372,380,302,487,493,1,520,507,514,488,509,478,460,80.0,220,1,Syracuse,F,2.3333333333333335,-0.057604792718754204
Colin Castleton,1630658,LAL,16,24,9,16,0.563,0,0,0.0,6,6,1.0,3,3,9,7,0.563,59.08,6,6,12,2,0,23.0,412,93,243,512,497,517,70,498,541,498,437,460,1,452,507,497,521,488,520,496,82.0,250,-1,Florida,C,1.5,0.2962085308056872
Collin Gillespie,1631221,DEN,24,87,32,69,0.464,15,38,0.395,8,12,0.667,27,14,15,9,0.625,225.365,1,20,21,13,0,24.0,347,118,128,429,422,427,238,334,365,109,425,426,424,520,448,467,384,359,520,420,73.0,195,-1,Villanova,G,3.625,0.18636434228917534
Collin Sexton,1629012,UTA,78,1458,506,1038,0.487,128,325,0.394,318,370,0.859,383,165,29,49,0.372,2074.7633333333333,71,134,205,62,18,25.0,213,543,411,89,42,47,175,87,100,112,20,26,94,118,246,220,32,100,228,34,75.0,190,5,Alabama,G,18.692307692307693,0.22797780951723007
Corey Kispert,1630557,WAS,80,1070,386,794,0.486,184,480,0.383,114,157,0.726,157,98,15,65,0.188,2067.435,30,195,225,42,16,25.0,347,572,517,91,89,94,180,30,31,146,123,113,354,280,168,192,145,194,248,84,78.0,224,2,Gonzaga,F,13.375,0.14728395330445698
Cory Joseph,202709,GSW,26,63,23,64,0.359,13,42,0.31,4,7,0.571,42,12,10,16,0.385,295.8933333333333,6,24,30,4,3,32.0,403,184,400,415,437,432,503,346,352,359,459,455,479,452,439,449,343,459,428,437,,,-1,,,2.423076923076923,0.21291456380677723
Craig Porter Jr.,1641854,CLE,51,285,116,228,0.509,12,34,0.353,41,56,0.732,118,45,30,21,0.588,649.355,21,88,109,21,15,24.0,201,253,191,327,283,298,128,357,370,253,269,260,348,331,311,329,192,312,258,297,73.0,180,-1,Wichita State,G,5.588235294117647,0.35188764235279624
D'Angelo Russell,1626156,LAL,76,1369,492,1080,0.456,226,545,0.415,159,192,0.828,482,156,46,30,0.605,2484.1283333333336,28,208,236,69,36,28.0,52,395,161,33,48,41,270,10,21,55,85,89,153,292,150,184,14,70,122,42,75.0,193,8,Ohio State,G,18.013157894736842,0.25220114097701607
D'Moi Hodge,1641793,LAL,7,14,5,15,0.333,3,12,0.25,1,2,0.5,5,1,1,6,0.143,41.24333333333333,0,0,0,1,1,25.0,538,80,542,527,521,520,521,423,433,431,509,493,494,545,557,561,488,509,478,519,,,-1,,,2.0,-0.04849268568657561
D.J. Carton,1630618,TOR,4,11,3,8,0.375,1,4,0.25,4,5,0.8,3,1,2,2,0.5,35.53333333333333,2,2,4,1,0,23.0,511,28,300,536,537,538,487,467,487,431,459,469,212,507,538,535,521,509,520,530,75.0,200,-1,Marquette,G,2.75,0.18292682926829268
D.J. Wilson,1628391,PHI,2,10,4,6,0.667,2,2,1.0,0,0,0.0,2,0,1,1,0.5,15.466666666666667,1,1,2,0,2,28.0,538,14,300,552,527,543,12,440,511,1,531,538,531,520,549,546,532,539,451,535,,,-1,,,5.0,0.5172413793103449
DaQuan Jeffries,1629610,NYK,17,14,6,17,0.353,2,10,0.2,0,2,0.0,5,3,11,6,0.647,45.975,0,5,5,0,1,26.0,392,80,103,523,515,513,510,440,435,460,531,493,531,545,517,527,488,539,478,519,77.0,222,4,Tulsa,G-F,0.8235294117647058,0.0
Daishen Nix,1630227,MIN,15,27,9,24,0.375,6,17,0.353,3,6,0.5,6,5,11,4,0.733,49.78333333333333,1,2,3,5,0,22.0,392,45,41,519,497,488,487,402,412,253,470,460,494,520,538,544,478,444,520,490,75.0,226,2,NBA G League Ignite,G,1.8,-0.020087043856712422
Dalano Banton,1630625,POR,54,557,202,500,0.404,59,199,0.296,94,120,0.783,127,77,24,30,0.444,1046.8466666666666,41,137,178,33,20,24.0,257,395,359,254,207,174,436,211,182,383,152,151,251,224,241,251,174,250,209,199,80.0,204,2,Nebraska,F,10.314814814814815,0.14710845905481224
Dalen Terry,1631207,CHI,59,180,69,157,0.439,17,74,0.23,25,43,0.581,81,32,27,32,0.458,680.71,29,84,113,27,18,21.0,231,425,352,321,354,347,333,331,301,446,332,305,476,287,318,321,260,281,228,353,79.0,195,1,Arizona,F,3.0508474576271185,0.30042161860410455
Damian Jones,1627745,CLE,39,107,43,72,0.597,3,14,0.214,18,21,0.857,15,13,24,15,0.615,269.7316666666667,20,42,62,7,13,28.0,257,168,151,421,395,421,47,423,424,453,366,381,98,337,396,383,436,417,277,403,82.0,245,7,Vanderbilt,C,2.7435897435897436,0.3744462088866095
Damian Lillard,203081,MIL,73,1775,541,1277,0.424,220,622,0.354,473,514,0.92,508,193,48,25,0.658,2578.4283333333333,36,284,320,72,18,33.0,36,311,91,25,31,20,392,12,6,249,5,7,38,249,78,106,10,58,228,17,74.0,195,11,Weber State,G,24.315068493150687,0.2701257936843956
Daniel Gafford,1629655,DAL,74,814,348,480,0.725,0,0,0.0,118,175,0.674,115,74,30,44,0.405,1814.355,195,367,562,65,153,25.0,201,528,383,141,109,184,2,498,541,498,117,98,420,13,42,29,194,87,7,139,82.0,234,4,Arkansas,F-C,11.0,0.5825761772089806
Daniel Theis,1628464,LAC,60,376,156,293,0.532,26,71,0.366,38,50,0.76,61,42,38,22,0.633,1014.84,85,159,244,21,51,32.0,124,262,117,262,243,266,100,296,305,207,277,282,288,85,207,176,298,312,58,258,80.0,245,6,Brose Bamberg,F-C,6.266666666666667,0.35769185290292066
Danilo Gallinari,201568,MIL,49,280,83,190,0.437,30,93,0.323,84,98,0.857,55,23,15,34,0.306,629.29,20,88,108,14,6,35.0,347,446,450,330,327,324,344,281,279,340,169,184,98,337,311,331,311,354,370,301,82.0,236,13,Olimpia Milano,F,5.714285714285714,0.2820639132991149
Danny Green,201980,PHI,2,0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0.5,18.45,0,2,2,1,0,36.0,538,14,300,549,561,561,561,498,524,498,531,538,531,545,538,546,544,509,520,563,,,-1,,,0.0,0.10840108401084012
Dante Exum,203957,DAL,55,428,161,302,0.533,53,108,0.491,53,68,0.779,157,49,36,19,0.655,1087.6216666666667,25,124,149,22,5,28.0,146,226,95,247,237,261,99,224,266,16,230,233,258,308,258,270,145,306,387,240,77.0,214,6,Australian Institute of Sport,G,7.781818181818182,0.3351349197714279
Danuel House Jr.,1627863,PHI,34,144,47,105,0.448,15,50,0.3,35,46,0.761,28,19,21,13,0.618,509.055,16,42,58,15,5,30.0,289,152,142,358,390,389,298,334,338,371,287,294,286,374,396,391,380,348,387,378,,,-1,,,4.235294117647059,0.1640294270756598
Dario Saric,203967,GSW,64,515,181,388,0.466,74,197,0.376,79,93,0.849,144,78,35,29,0.547,1097.7516666666668,73,210,283,31,10,30.0,155,381,269,245,222,216,228,179,184,166,171,193,118,110,147,132,154,259,308,215,82.0,225,6,Anadolu Efes,F-C,8.046875,0.427692359079391
Dariq Whitehead,1641727,BKN,2,3,1,5,0.2,0,3,0.0,1,2,0.5,3,0,1,1,0.5,23.983333333333334,0,4,4,0,1,19.0,538,14,300,544,550,551,552,498,496,498,509,493,494,545,523,535,521,539,478,552,78.0,220,-1,Duke,F,1.5,0.22932592077831826
Darius Bazley,1629647,UTA,9,48,18,30,0.6,2,8,0.25,10,12,0.833,7,8,2,7,0.222,151.825,8,20,28,6,7,23.0,511,93,502,451,447,475,43,440,450,431,414,426,135,436,448,453,473,434,343,450,81.0,216,4,Princeton HS (OH),F,5.333333333333333,0.31615346616169937
Darius Garland,1629636,CLE,57,1028,375,841,0.446,132,356,0.371,146,175,0.834,373,176,31,26,0.544,1900.4383333333333,30,122,152,74,7,24.0,193,332,274,123,93,81,307,82,77,191,93,98,134,280,260,267,36,50,343,90,73.0,192,4,Vanderbilt,G,18.035087719298247,0.17417034491165634
