Player,Player ID,Team,Games Played,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,AST,TO,W,L,W_PCT,MIN,OREB,DREB,REB,STL,BLK,AGE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,STL_RANK,BLK_RANK,PTS_RANK,HEIGHT,WEIGHT,EXP,SCHOOL,POSITION,PPG,PER
P.J. Tucker,200782,LAC,31,52,18,50,0.36,13,35,0.371,3,3,1.0,16,8,13,18,0.419,486.31333333333333,28,57,85,16,7,39.0,377,215,371,363,447,443,502,346,368,188,470,487,1,292,358,354,430,341,343,445,77.0,245,12,Texas,F,1.6774193548387097,0.26834551112451505
P.J. Washington,1629023,DAL,73,939,354,811,0.436,132,413,0.32,99,145,0.683,141,96,30,43,0.411,2220.6783333333333,85,326,411,72,59,25.0,201,525,377,66,104,91,345,82,50,347,143,127,409,85,57,64,156,58,48,106,79.0,230,4,Kentucky,F,12.863013698630137,0.20151500254802024
Paolo Banchero,1631094,ORL,80,1804,640,1407,0.455,119,351,0.339,405,559,0.725,431,247,46,34,0.575,2798.701666666667,82,472,554,71,47,21.0,52,446,218,5,17,12,271,96,82,287,10,5,355,94,19,30,23,62,68,16,82.0,250,1,Duke,F,22.55,0.251366556278179
Pascal Siakam,1627783,IND,80,1737,681,1271,0.536,85,246,0.346,290,396,0.732,342,141,38,42,0.475,2657.8883333333333,139,426,565,63,25,30.0,124,515,339,15,11,21,95,150,136,279,28,22,347,37,30,27,46,94,175,19,80.0,245,7,New Mexico State,F,21.7125,0.33710972306962983
Pat Connaughton,1626192,MIL,76,428,151,347,0.435,82,238,0.345,44,58,0.759,161,49,45,31,0.592,1676.28,51,188,239,40,19,31.0,66,406,184,166,249,242,351,157,148,280,258,257,292,188,173,180,142,210,219,240,77.0,209,8,Notre Dame,G,5.631578947368421,0.27382060276326153
Pat Spencer,1630311,GSW,6,4,2,4,0.5,0,2,0.0,0,0,0.0,5,1,4,2,0.667,25.65,2,2,4,0,0,27.0,482,28,76,542,541,554,139,498,511,498,531,538,531,507,538,535,488,539,520,547,75.0,205,-1,Northwestern,G,0.6666666666666666,0.40935672514619886
Patrick Baldwin Jr.,1631116,WAS,38,168,59,155,0.381,31,97,0.32,19,28,0.679,29,19,6,32,0.158,493.5083333333333,17,106,123,18,15,21.0,458,425,536,361,368,349,483,278,271,348,361,353,414,366,284,310,376,331,258,361,81.0,220,1,Wisconsin-Milwaukee,F,4.421052631578948,0.29786731058239474
Patrick Beverley,201976,MIL,73,451,158,379,0.417,61,181,0.337,74,90,0.822,212,65,43,30,0.589,1462.5116666666668,49,190,239,43,31,35.0,79,395,190,193,240,220,408,203,198,294,183,200,169,193,172,180,106,183,145,235,74.0,180,11,Arkansas,G,6.178082191780822,0.3323050414412648
Patrick Williams,1630172,CHI,43,429,159,359,0.443,59,148,0.399,52,66,0.788,66,57,19,24,0.442,1174.085,46,120,166,40,33,22.0,307,282,365,231,238,238,318,211,227,95,232,237,242,200,265,258,288,210,137,238,79.0,215,3,Florida State,F,9.976744186046512,0.15756951157710047
Patty Mills,201988,MIA,32,127,46,131,0.351,24,87,0.276,11,11,1.0,34,16,15,17,0.469,415.315,9,26,35,20,1,35.0,347,199,344,379,391,368,513,302,286,415,409,433,1,424,430,439,363,317,478,389,74.0,180,14,St. Mary's,G,3.96875,0.055379651589757176
